,pride,wrath,sloth,envy,lust,gluttony,greed
Melbourne_Inner,392,1457,1647,1416,2093,886,268
Melbourne_Inner_East,24,139,175,73,136,99,11
Melbourne_Inner_South,27,133,197,130,232,147,21
Melbourne_North_East,12,69,92,117,86,32,22
Melbourne_North_West,10,68,94,56,110,28,14
Melbourne_Outer_East,36,138,105,82,170,60,18
Melbourne_South_East,14,74,43,66,53,13,5
Melbourne_West,12,58,48,64,57,133,8
Mornington_Peninsula,5,32,44,21,33,19,8
Outside,320,1556,2062,1525,1994,756,240
